t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
35,0.9969203791288587,1719.2085770528283,-6.739518217608868,0.0026862634016450444,0.6005615814151435,0.4701123162830287,0.04094119003945959,0.007591814329014234,18.107173553464328,40
36,0.9969293737537669,1725.1603544664217,-6.76629222134513,0.002695563053853784,0.6360689461656928,0.4772137892331385,0.04094119003945959,0.007591814329014234,18.107173553464328,40
37,0.9969285017389139,1772.2192827057545,-6.97805827043698,0.0027690926292277414,0.6627247060866108,0.48254494121732217,0.04094119003945959,0.007591814329014234,18.107173553464328,40
38,0.9970239895562776,1762.0302493175316,-6.932112132372614,0.002753172264558643,0.6661779872981088,0.48323559745962175,0.04094119003945959,0.007591814329014234,18.107173553464328,40
39,0.9970151011668301,1771.1573352634211,-6.973192907518564,0.0027674333363490954,0.6699857624841524,0.4839971524968305,0.04094119003945959,0.007591814329014234,18.107173553464328,40
40,0.9971307927409834,1765.074980803665,-6.945706620875509,0.0027579296575057266,0.6749060114271682,0.4849812022854336,0.04094119003945959,0.007591814329014234,18.107173553464328,40
41,0.9971693773905062,1782.5965932005863,-7.024515292012131,0.002785307176875916,0.6879181852070272,0.4875836370414054,0.04094119003945959,0.007591814329014234,18.107173553464328,40
42,0.9970692790390487,1804.789102289297,-7.124481681262787,0.0028199829723270266,0.7050941549367683,0.49101883098735366,0.04094119003945959,0.007591814329014234,18.107173553464328,40
43,0.9970913561278612,1781.1319990735708,-7.018002639703207,0.0027830187485524543,0.6976766740159193,0.48953533480318384,0.04094119003945959,0.007591814329014234,18.107173553464328,40
44,0.9971378970173426,1792.6343750059914,-7.069716790509618,0.0028009912109468616,0.6958401683187624,0.4891680336637525,0.04094119003945959,0.007591814329014234,18.107173553464328,40
45,0.997109531042856,1791.4388731930217,-7.064365398325741,0.0027991232393640964,0.7055252040121641,0.4911050408024328,0.04094119003945959,0.007591814329014234,18.107173553464328,40
46,0.9971436470038976,1820.351982622649,-7.194440274798022,0.0028442999728478893,0.7000041233306553,0.49000082466613104,0.04094119003945959,0.007591814329014234,18.107173553464328,40
47,0.9971961243784533,1811.5244055837672,-7.154663700748499,0.0028305068837246364,0.7306615538316735,0.4961323107663347,0.04094119003945959,0.007591814329014234,18.107173553464328,40
48,0.9972306964944867,1824.0941781918864,-7.211193105369,0.0028501471534248227,0.7213792541936169,0.4942758508387234,0.04094119003945959,0.007591814329014234,18.107173553464328,40
49,0.9973028138048874,1831.662361780941,-7.245177814209345,0.0028619724402827204,0.7162871928080773,0.4932574385616154,0.04094119003945959,0.007591814329014234,18.107173553464328,40
50,0.9972399953434012,1587.442604293863,-6.146251723978982,0.002480379069209161,0.7239474907806366,0.49478949815612727,0.023862440482148785,0.010133189307970867,18.66474512674254,40
51,0.9972701350517116,1553.6951820823524,-5.994358184318874,0.0024276487220036757,0.7251187557990829,0.49502375115981656,0.023862440482148785,0.010133189307970867,18.66474512674254,40
52,0.9970870554955356,1560.8345381180645,-6.0266683660357545,0.002438803965809476,0.7402685372351491,0.4980537074470298,0.023862440482148785,0.010133189307970867,18.66474512674254,40
53,0.99728805205471,1545.4404948501135,-5.9571941747708,0.0024147507732033024,0.7524840021998953,0.500496800439979,0.023862440482148785,0.010133189307970867,18.66474512674254,40
54,0.9973616047451326,1527.0625181910593,-5.874419727114634,0.0023860351846735303,0.7531535248875066,0.5006307049775013,0.023862440482148785,0.010133189307970867,18.66474512674254,40
55,0.9974781359321478,1543.0430161978336,-5.946215436958102,0.002411004712809115,0.7509271155931486,0.5001854231186297,0.023862440482148785,0.010133189307970867,18.66474512674254,40
56,0.9974063078518572,1553.481340578208,-5.993259724750078,0.00242731459465345,0.7584615228538225,0.5016923045707645,0.023862440482148785,0.010133189307970867,18.66474512674254,40
57,0.9973718124923306,1547.731947563136,-5.96742195154178,0.0024183311680674,0.7689942761775049,0.5037988552355009,0.023862440482148785,0.010133189307970867,18.66474512674254,40
58,0.9974252520958968,1540.0344147831902,-5.9327296144284585,0.0024063037730987346,0.7718622361022878,0.5043724472204576,0.023862440482148785,0.010133189307970867,18.66474512674254,40
59,0.9971542525060146,1539.4934332144937,-5.930566196959207,0.0024054584893976466,0.7663884188170745,0.5032776837634149,0.023862440482148785,0.010133189307970867,18.66474512674254,40
60,0.9972447193062375,1533.380023245586,-5.902965385298899,0.002395906286321228,0.7624583520903192,0.5024916704180639,0.023862440482148785,0.010133189307970867,18.66474512674254,40
61,0.9970057728859323,1539.4242016029445,-5.930403134327317,0.002405350315004601,0.764312665690887,0.5028625331381774,0.023862440482148785,0.010133189307970867,18.66474512674254,40
62,0.9970511711492888,1523.7724910400916,-5.859925038531124,0.002380894517250143,0.7764712521687572,0.5052942504337514,0.023862440482148785,0.010133189307970867,18.66474512674254,40
63,0.9973454015198493,1511.5397057705914,-5.804583274447811,0.002361780790266549,0.7760144617105741,0.5052028923421148,0.023862440482148785,0.010133189307970867,18.66474512674254,40
64,0.9971274456942772,1517.3833763312675,-5.831097747796426,0.0023709115255176054,0.7703579665804309,0.5040715933160862,0.023862440482148785,0.010133189307970867,18.66474512674254,40
65,0.9971487107905452,1531.6083729518552,-5.8950889674928035,0.002393138082737274,0.7771759024511905,0.5054351804902381,0.023862440482148785,0.010133189307970867,18.66474512674254,40
66,0.9970704407984817,1516.3303185730947,-5.8264159927804435,0.0023692661227704605,0.7931294833009241,0.5086258966601849,0.023862440482148785,0.010133189307970867,18.66474512674254,40
67,0.9970890329812007,1523.7373495415175,-5.859729039955627,0.002380839608658621,0.7952077043558146,0.5090415408711629,0.023862440482148785,0.010133189307970867,18.66474512674254,40
68,0.9972376995138629,1513.1349886967553,-5.811869749621535,0.00236427341983868,0.8035339240286418,0.5107067848057283,0.023862440482148785,0.010133189307970867,18.66474512674254,40
69,0.9972610053676567,1497.6511149604532,-5.742169011954383,0.002340079867125708,0.8124364476316517,0.5124872895263304,0.023862440482148785,0.010133189307970867,18.66474512674254,40
70,0.9974439708390922,1493.5644437290157,-5.723596025941478,0.002333694443326587,0.8129848681709021,0.5125969736341804,0.023862440482148785,0.010133189307970867,18.66474512674254,40
71,0.9975760377660203,1502.8690942365863,-5.765334886298618,0.002348232959744666,0.8171843790400902,0.513436875808018,0.023862440482148785,0.010133189307970867,18.66474512674254,40
72,0.9974715763732156,1502.8494343046937,-5.765350877997905,0.0023482022411010837,0.8218816726038486,0.5143763345207697,0.023862440482148785,0.010133189307970867,18.66474512674254,40
73,0.997567841010213,1499.1758312477116,-5.748723399604489,0.0023424622363245494,0.8364972171262843,0.5172994434252569,0.023862440482148785,0.010133189307970867,18.66474512674254,40
74,0.9973343890179944,1504.0206039999675,-5.770758328981859,0.0023500321937499494,0.8364139417535483,0.5172827883507096,0.023862440482148785,0.010133189307970867,18.66474512674254,40
75,0.9975126791454502,1271.5597365194847,-4.72450613519223,0.001986812088311695,0.6980017216721247,0.4896003443344249,0.011931220241074392,0.007315906515628197,16.652202707517134,40
76,0.9975235157895109,1266.4727368776846,-4.701603800160069,0.001978863651371382,0.6990958136006374,0.4898191627201275,0.011931220241074392,0.007315906515628197,16.652202707517134,40
77,0.9974654489092821,1268.2047333189598,-4.7094558510260365,0.0019815698958108746,0.7002051537763769,0.4900410307552754,0.011931220241074392,0.007315906515628197,16.652202707517134,40
78,0.9974226541274747,1259.9558044161988,-4.672378465745419,0.0019686809444003106,0.6925854338021535,0.4885170867604307,0.011931220241074392,0.007315906515628197,16.652202707517134,40
79,0.9973036691067533,1257.5920082294479,-4.661860367925762,0.0019649875128585122,0.7030348313786433,0.49060696627572864,0.011931220241074392,0.007315906515628197,16.652202707517134,40
80,0.99731727362306,1243.3104753028356,-4.5975798652397,0.0019426726176606805,0.705854550942975,0.491170910188595,0.011931220241074392,0.007315906515628197,16.652202707517134,40
81,0.9974660100589893,1246.9683358459029,-4.613891501247573,0.0019483880247592232,0.7048101339623171,0.49096202679246337,0.011931220241074392,0.007315906515628197,16.652202707517134,40
82,0.9973622637199949,1248.0441063665614,-4.618836214929531,0.0019500689161977523,0.7180257136231682,0.4936051427246336,0.011931220241074392,0.007315906515628197,16.652202707517134,40
83,0.9973810978318955,1240.6476920494292,-4.5855335163905355,0.0019385120188272333,0.7206478398739694,0.4941295679747939,0.011931220241074392,0.007315906515628197,16.652202707517134,40
84,0.9973523820741912,1233.41936358781,-4.5530347540709535,0.0019272177556059532,0.7178505385042453,0.4935701077008491,0.011931220241074392,0.007315906515628197,16.652202707517134,40
85,0.9972416995628668,1233.963848507248,-4.555595618719749,0.0019280685132925751,0.717368655108944,0.4934737310217888,0.011931220241074392,0.007315906515628197,16.652202707517134,40
86,0.9972974356221169,1234.4103759992784,-4.557549256374635,0.0019287662124988724,0.7210407322201418,0.49420814644402833,0.011931220241074392,0.007315906515628197,16.652202707517134,40
87,0.9973050677327693,1223.27182680639,-4.507418152895985,0.0019113622293849843,0.7279677453524149,0.495593549070483,0.011931220241074392,0.007315906515628197,16.652202707517134,40
88,0.9972946402533007,1226.5456429197877,-4.522160752885744,0.0019164775670621683,0.7379807113432767,0.49759614226865534,0.011931220241074392,0.007315906515628197,16.652202707517134,40
