t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
51,0.9975687448660063,1502.027984009627,-5.761557183177315,0.0023469187250150423,0.1843876822353626,0.3868775364470725,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
52,0.9974275126360332,1482.5404626485797,-5.674004569282575,0.0023164694728884058,0.1843844331478774,0.3868768866295755,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
53,0.9974664595306569,1499.6592627415139,-5.751000222806154,0.0023432175980336156,0.18401616646103253,0.3868032332922065,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
54,0.9976044052597929,1505.3790674718666,-5.776601398363606,0.0023521547929247918,0.18398796432122644,0.38679759286424525,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
55,0.9977198220374536,1512.3668914449968,-5.807931189465032,0.0023630732678828073,0.1840045182024244,0.38680090364048486,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
56,0.9976804761761859,1528.2079486541083,-5.879255292767301,0.0023878249197720443,0.18377557897569757,0.3867551157951395,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
57,0.9977075472656477,1546.893512709806,-5.963313259928478,0.002417021113609072,0.1839732817543643,0.38679465635087285,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
58,0.9979170206334202,1527.1889616247945,-5.874433306678155,0.0023862327525387412,0.184158502872992,0.38683170057459837,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
59,0.9979581243698602,1535.8551226825173,-5.913389927701467,0.0023997736291914333,0.1840595985805025,0.38681191971610046,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
60,0.9978631199631852,1529.2430781144326,-5.883730731551761,0.002389442309553801,0.1842164756017593,0.3868432951203518,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
61,0.997797469533547,1538.9645375215312,-5.927542949313343,0.0024046320898773923,0.18430647208153503,0.386861294416307,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
62,0.9978099637781866,1538.6193569880813,-5.925977142668179,0.002404092745293877,0.18453954035154502,0.386907908070309,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
63,0.997841389716568,1535.2227097026555,-5.910660803945381,0.0023987854839103992,0.1845864086765028,0.38691728173530054,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
64,0.9977518000592662,1563.898054006651,-6.039789442970663,0.002443590709385392,0.1845700513530722,0.3869140102706144,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
65,0.997894145361531,1572.472835636033,-6.078233615000617,0.002456988805681302,0.1847278306152307,0.3869455661230461,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
66,0.9977875545186116,1561.9764537314372,-6.031106487272856,0.002440588208955371,0.1842864512765108,0.38685729025530213,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
67,0.9977401331311448,1573.0718484517158,-6.081083184901576,0.002457924763205806,0.18414816710127266,0.3868296334202545,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
68,0.9978337676560163,1589.711812825971,-6.155869390060853,0.0024839247075405797,0.18402376184508318,0.3868047523690166,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
69,0.9978858801424307,1571.7344113774186,-6.074918971055952,0.0024558350177772167,0.18414721427941727,0.38682944285588344,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
70,0.9979728029130066,1574.7159672432654,-6.0882490496816875,0.002460493698817602,0.18416979020379998,0.38683395804076,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
71,0.9980399361475547,1595.364434819233,-6.181100020538994,0.0024927569294050517,0.18406978429898602,0.3868139568597972,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
72,0.9980790280891985,1568.3542363742774,-6.05951503559505,0.0024505534943348086,0.18422295633027974,0.3868445912660559,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
73,0.9979677940107977,1594.3126330535806,-6.176439054730315,0.0024911134891462197,0.18402381064550521,0.38680476212910103,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
74,0.9980889959660633,1587.955586046989,-6.147711141245387,0.0024811806031984204,0.18445923415686566,0.3868918468313731,0.02661260468849975,0.0017560319018741506,11.803220645243346,40
75,0.9980419845194155,1364.5200898737376,-5.142298419912404,0.002132062640427715,0.18349155218216245,0.3866983104364325,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
76,0.9981510633275983,1357.6845421870903,-5.111429376514308,0.0021213820971673287,0.183673001509219,0.38673460030184376,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
77,0.9979799395981612,1368.4993629141052,-5.1602671935153115,0.0021382802545532893,0.1837676659340312,0.3867535331868062,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
78,0.9980400681249291,1363.9927243820148,-5.139927191594137,0.0021312386318468983,0.18367692932588903,0.3867353858651778,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
79,0.997906076371001,1350.7711338095382,-5.0805640257719205,0.0021105798965774035,0.18373436011161404,0.3867468720223228,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
80,0.9978872841488471,1365.3646479976694,-5.146253631840665,0.0021333822624963585,0.18380796404838484,0.3867615928096769,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
81,0.9980192584978392,1382.0649832608078,-5.221273166175795,0.0021594765363450123,0.1837974274509711,0.3867594854901942,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
82,0.9980878385851546,1365.2386318388656,-5.14548600468974,0.0021331853622482276,0.1836869633166651,0.386737392663333,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
83,0.9981172237253362,1363.4085268794545,-5.137221147232209,0.0021303258232491474,0.18345348830602234,0.38669069766120445,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
84,0.9980985033901271,1361.2463268133417,-5.12750996726991,0.0021269473856458465,0.18339386828905788,0.38667877365781156,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
85,0.9981647203409293,1367.6733058100926,-5.156365155804488,0.0021369895403282697,0.18339598178909505,0.386679196357819,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
86,0.9980010588754087,1380.0100361766922,-5.212044103919705,0.0021562656815260818,0.18325106735401966,0.3866502134708039,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
87,0.9979419034577692,1380.2826381330453,-5.213329968140934,0.0021566916220828835,0.18342144340865288,0.38668428868173055,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
88,0.9979178818350253,1390.5746784814658,-5.25966817133157,0.00217277293512729,0.18350398485275143,0.38670079697055026,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
